date,actual_AQI,predicted_AQI,error,absolute_error,squared_error,actual_category,predicted_category,category_correct,horizon,model
2025-11-16,154.0,115.61109963100519,-38.38890036899481,38.38890036899481,1473.70767154061,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-17,137.0,121.95744463889943,-15.042555361100568,15.042555361100568,226.27847179177544,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-18,146.0,127.83622926331428,-18.16377073668572,18.16377073668572,329.9225673748805,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-19,144.0,128.9842393556886,-15.0157606443114,15.0157606443114,225.47306772725108,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-20,153.0,132.08266669708988,-20.917333302910123,20.917333302910123,437.5348325050329,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-21,157.0,133.1660782767608,-23.8339217232392,23.8339217232392,568.0558247094934,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-22,157.0,139.0539736283973,-17.9460263716027,17.9460263716027,322.0598625302595,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-11-23,134.0,142.81452095435645,8.814520954356453,8.814520954356453,77.695779654789,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-24,117.0,135.07831734149426,18.078317341494255,18.078317341494255,326.8255578997719,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-25,108.0,129.43082532749474,21.430825327494745,21.430825327494745,459.2802742175902,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-26,105.0,129.56429491492585,24.564294914925853,24.564294914925853,603.4045846674521,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-27,120.0,126.91802490392395,6.91802490392395,6.91802490392395,47.85906857131197,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-28,113.0,127.31540060451519,14.31540060451519,14.31540060451519,204.93069446775388,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-29,103.0,131.64405342488226,28.64405342488226,28.64405342488226,820.4817966075091,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-11-30,110.0,126.71101437604773,16.71101437604773,16.71101437604773,279.25800147647385,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
